#BinStart,RateHitEvents,RateTrackEvents,Pressure
5.456095740000e+08,5.442623e+01,4.973771e+01,9.980000e+02
5.456096350000e+08,5.324590e+01,4.878688e+01,9.980000e+02
5.456096960000e+08,5.537705e+01,5.039344e+01,9.980000e+02
5.456097570000e+08,5.445901e+01,4.973771e+01,9.980000e+02
5.456098180000e+08,5.542623e+01,5.086885e+01,9.980000e+02
5.456098790000e+08,5.563934e+01,5.075410e+01,9.980000e+02
5.456099400000e+08,5.362295e+01,4.904918e+01,9.980000e+02
5.456100010000e+08,5.391803e+01,4.881967e+01,9.980000e+02
5.456100620000e+08,5.473771e+01,5.014754e+01,9.980000e+02
5.456101230000e+08,5.540984e+01,5.000000e+01,9.980000e+02
5.456101840000e+08,5.554099e+01,5.068853e+01,9.980000e+02
5.456102450000e+08,5.534426e+01,4.968853e+01,9.980000e+02
5.456103060000e+08,5.549180e+01,4.991803e+01,9.980000e+02
5.456103670000e+08,5.383607e+01,4.916393e+01,9.980000e+02
5.456104500000e+08,5.347541e+01,4.850820e+01,9.980000e+02
5.456105110000e+08,5.409836e+01,4.967213e+01,9.980000e+02
5.456105720000e+08,5.547541e+01,5.077049e+01,9.980000e+02
5.456106330000e+08,5.357377e+01,4.955738e+01,9.980000e+02
5.456106940000e+08,5.385246e+01,4.940984e+01,9.980000e+02
5.456107550000e+08,5.309836e+01,4.836066e+01,9.980000e+02
5.456108160000e+08,5.470492e+01,4.947541e+01,9.980000e+02
5.456108770000e+08,5.414754e+01,4.922951e+01,9.980000e+02
5.456109380000e+08,5.504918e+01,5.016393e+01,9.980000e+02
5.456109990000e+08,5.427869e+01,4.977049e+01,9.980000e+02
5.456110600000e+08,5.427869e+01,4.959016e+01,9.980000e+02
5.456111210000e+08,5.449180e+01,4.986885e+01,9.980000e+02
5.456111820000e+08,5.262295e+01,4.800000e+01,9.980000e+02
5.456112430000e+08,5.452459e+01,4.940984e+01,9.980000e+02
5.456113360000e+08,5.426229e+01,4.926229e+01,9.980000e+02
5.456113970000e+08,5.500000e+01,5.014754e+01,9.980000e+02
5.456114580000e+08,5.436066e+01,4.937705e+01,9.980000e+02
5.456115190000e+08,5.585246e+01,5.155738e+01,9.980000e+02
5.456115800000e+08,5.373771e+01,4.996721e+01,9.980000e+02
5.456116410000e+08,5.524590e+01,5.132787e+01,9.980000e+02
5.456117020000e+08,5.557377e+01,5.095082e+01,9.980000e+02
5.456117630000e+08,5.413115e+01,4.904918e+01,9.980000e+02
5.456118240000e+08,5.627869e+01,5.159016e+01,9.980000e+02
5.456118850000e+08,5.449180e+01,5.009836e+01,9.980000e+02
5.456119460000e+08,5.424590e+01,4.967213e+01,9.980000e+02
5.456120070000e+08,5.696721e+01,5.198361e+01,9.980000e+02
5.456120680000e+08,5.601639e+01,5.101639e+01,9.980000e+02
5.456121290000e+08,5.508197e+01,5.088525e+01,9.980000e+02
5.456122080000e+08,5.577049e+01,5.055738e+01,9.980000e+02
5.456122690000e+08,5.619672e+01,5.086885e+01,9.980000e+02
5.456123300000e+08,5.663934e+01,5.160656e+01,9.980000e+02
5.456123910000e+08,5.508197e+01,5.055738e+01,9.980000e+02
5.456124520000e+08,5.413115e+01,4.911475e+01,9.980000e+02
5.456125130000e+08,5.462295e+01,4.955738e+01,9.980000e+02
5.456125740000e+08,5.495082e+01,5.065574e+01,9.980000e+02
5.456126350000e+08,5.552459e+01,5.075410e+01,9.980000e+02
5.456126960000e+08,5.452459e+01,5.018033e+01,9.980000e+02
5.456127570000e+08,5.514754e+01,5.060656e+01,9.980000e+02
5.456128180000e+08,5.301639e+01,4.862295e+01,9.980000e+02
5.456128790000e+08,5.439344e+01,4.950820e+01,9.980000e+02
5.456129400000e+08,5.565574e+01,5.109836e+01,9.980000e+02
5.456130010000e+08,5.637705e+01,5.183607e+01,9.980000e+02
5.456130780000e+08,5.600000e+01,5.139344e+01,9.970000e+02
5.456131390000e+08,5.332787e+01,4.926229e+01,9.970000e+02
5.456132000000e+08,5.483607e+01,4.985246e+01,9.970000e+02
5.456132610000e+08,5.480328e+01,4.947541e+01,9.970000e+02
5.456133220000e+08,5.498361e+01,4.942623e+01,9.970000e+02
5.456133830000e+08,5.588525e+01,5.088525e+01,9.970000e+02
5.456134440000e+08,5.454099e+01,4.934426e+01,9.970000e+02
5.456135050000e+08,5.398361e+01,4.957377e+01,9.970000e+02
5.456135660000e+08,5.503279e+01,5.008197e+01,9.970000e+02
5.456136270000e+08,5.522951e+01,5.001639e+01,9.970000e+02
5.456136880000e+08,5.381967e+01,4.903279e+01,9.970000e+02
5.456137490000e+08,5.303279e+01,4.836066e+01,9.970000e+02
5.456138100000e+08,5.401639e+01,4.872131e+01,9.970000e+02
5.456138710000e+08,5.355738e+01,4.842623e+01,9.970000e+02
5.456139580000e+08,5.380328e+01,4.891803e+01,9.970000e+02
5.456140190000e+08,5.540984e+01,5.072131e+01,9.970000e+02
5.456140800000e+08,5.367213e+01,4.893443e+01,9.970000e+02
5.456141410000e+08,5.672131e+01,5.168853e+01,9.970000e+02
5.456142020000e+08,5.452459e+01,4.981967e+01,9.970000e+02
5.456142630000e+08,5.490164e+01,5.001639e+01,9.970000e+02
5.456143240000e+08,5.511475e+01,5.027869e+01,9.970000e+02
5.456143850000e+08,5.422951e+01,4.959016e+01,9.970000e+02
5.456144460000e+08,5.478688e+01,4.955738e+01,9.970000e+02
5.456145070000e+08,5.367213e+01,4.859016e+01,9.970000e+02
5.456145680000e+08,5.603279e+01,5.131147e+01,9.970000e+02
5.456146290000e+08,5.436066e+01,4.975410e+01,9.970000e+02
5.456146900000e+08,5.488525e+01,5.000000e+01,9.970000e+02
5.456147510000e+08,5.375410e+01,4.863934e+01,9.970000e+02
5.456148340000e+08,5.583607e+01,5.042623e+01,9.970000e+02
5.456148950000e+08,5.609836e+01,5.104918e+01,9.970000e+02
5.456149560000e+08,5.416393e+01,4.924590e+01,9.970000e+02
5.456150170000e+08,5.418033e+01,4.903279e+01,9.970000e+02
5.456150780000e+08,5.629508e+01,5.081967e+01,9.970000e+02
5.456151390000e+08,5.519672e+01,5.049180e+01,9.970000e+02
5.456152000000e+08,5.496721e+01,5.045901e+01,9.970000e+02
5.456152610000e+08,5.504918e+01,5.031147e+01,9.970000e+02
5.456153220000e+08,5.455738e+01,4.908197e+01,9.970000e+02
5.456153830000e+08,5.455738e+01,4.932787e+01,9.970000e+02
5.456154440000e+08,5.513115e+01,5.026229e+01,9.970000e+02
5.456155050000e+08,5.429508e+01,4.922951e+01,9.970000e+02
5.456155660000e+08,5.283607e+01,4.839344e+01,9.970000e+02
5.456156270000e+08,5.508197e+01,4.960656e+01,9.970000e+02
5.456157070000e+08,5.344262e+01,4.829508e+01,9.970000e+02
5.456157680000e+08,5.381967e+01,4.906557e+01,9.970000e+02
5.456158290000e+08,5.632787e+01,5.177049e+01,9.970000e+02
5.456158900000e+08,5.431147e+01,4.939344e+01,9.970000e+02
5.456159510000e+08,5.413115e+01,4.945901e+01,9.970000e+02
5.456160120000e+08,5.362295e+01,4.898361e+01,9.970000e+02
5.456160730000e+08,5.503279e+01,4.985246e+01,9.970000e+02
5.456161340000e+08,5.298361e+01,4.839344e+01,9.970000e+02
5.456161950000e+08,5.481967e+01,4.991803e+01,9.970000e+02
5.456162560000e+08,5.445901e+01,4.934426e+01,9.970000e+02
5.456163170000e+08,5.514754e+01,5.026229e+01,9.970000e+02
5.456163780000e+08,5.532787e+01,5.057377e+01,9.970000e+02
5.456164390000e+08,5.622951e+01,5.106557e+01,9.970000e+02
5.456165000000e+08,5.549180e+01,5.026229e+01,9.970000e+02
5.456165830000e+08,5.675410e+01,5.178688e+01,9.970000e+02
5.456166440000e+08,5.516393e+01,5.001639e+01,9.970000e+02
5.456167050000e+08,5.445901e+01,4.981967e+01,9.970000e+02
5.456167660000e+08,5.424590e+01,4.963934e+01,9.970000e+02
5.456168270000e+08,5.344262e+01,4.877049e+01,9.970000e+02
5.456168880000e+08,5.483607e+01,4.990164e+01,9.970000e+02
5.456169490000e+08,5.539344e+01,4.991803e+01,9.970000e+02
5.456170100000e+08,5.531147e+01,5.027869e+01,9.970000e+02
5.456170710000e+08,5.534426e+01,5.036066e+01,9.970000e+02
5.456171320000e+08,5.496721e+01,4.986885e+01,9.970000e+02
5.456171930000e+08,5.459016e+01,4.950820e+01,9.970000e+02
5.456172540000e+08,5.696721e+01,5.216393e+01,9.970000e+02
5.456173150000e+08,5.626229e+01,5.150820e+01,9.970000e+02
5.456173760000e+08,5.500000e+01,5.009836e+01,9.970000e+02
5.456174520000e+08,5.529508e+01,5.078688e+01,9.970000e+02
5.456175130000e+08,5.577049e+01,5.072131e+01,9.970000e+02
5.456175740000e+08,5.493443e+01,5.011475e+01,9.970000e+02
5.456176350000e+08,5.504918e+01,5.027869e+01,9.970000e+02
5.456176960000e+08,5.540984e+01,5.013115e+01,9.970000e+02
5.456177570000e+08,5.573771e+01,5.080328e+01,9.970000e+02
5.456178180000e+08,5.437705e+01,4.940984e+01,9.970000e+02
5.456178790000e+08,5.514754e+01,5.026229e+01,9.970000e+02
5.456179400000e+08,5.481967e+01,5.018033e+01,9.970000e+02
5.456180010000e+08,5.595082e+01,5.085246e+01,9.970000e+02
5.456180620000e+08,5.400000e+01,4.929508e+01,9.970000e+02
5.456181230000e+08,5.452459e+01,4.970492e+01,9.970000e+02
5.456181840000e+08,5.524590e+01,5.072131e+01,9.970000e+02
5.456182450000e+08,5.622951e+01,5.200000e+01,9.970000e+02
5.456183210000e+08,5.581967e+01,5.019672e+01,9.960000e+02
5.456183820000e+08,5.575410e+01,5.095082e+01,9.960000e+02
5.456184430000e+08,5.493443e+01,5.042623e+01,9.960000e+02
5.456185040000e+08,5.481967e+01,5.049180e+01,9.960000e+02
5.456185650000e+08,5.619672e+01,5.129508e+01,9.960000e+02
5.456186260000e+08,5.645901e+01,5.155738e+01,9.960000e+02
5.456186870000e+08,5.400000e+01,4.927869e+01,9.960000e+02
5.456187480000e+08,5.432787e+01,4.978688e+01,9.960000e+02
5.456188090000e+08,5.388525e+01,4.960656e+01,9.960000e+02
5.456188700000e+08,5.516393e+01,5.065574e+01,9.960000e+02
5.456189310000e+08,5.414754e+01,4.950820e+01,9.960000e+02
5.456189920000e+08,5.355738e+01,4.914754e+01,9.960000e+02
5.456190530000e+08,5.667213e+01,5.170492e+01,9.960000e+02
5.456191140000e+08,5.552459e+01,5.063934e+01,9.960000e+02
5.456191920000e+08,5.359016e+01,4.886885e+01,9.960000e+02
5.456192530000e+08,5.483607e+01,4.983607e+01,9.960000e+02
5.456193140000e+08,5.483607e+01,4.990164e+01,9.960000e+02
5.456193750000e+08,5.698361e+01,5.132787e+01,9.960000e+02
5.456194360000e+08,5.452459e+01,4.975410e+01,9.960000e+02
5.456194970000e+08,5.447541e+01,4.986885e+01,9.960000e+02
5.456195580000e+08,5.603279e+01,5.139344e+01,9.960000e+02
5.456196190000e+08,5.493443e+01,4.981967e+01,9.960000e+02
5.456196800000e+08,5.595082e+01,5.067213e+01,9.960000e+02
5.456197410000e+08,5.470492e+01,5.026229e+01,9.960000e+02
5.456198020000e+08,5.550820e+01,5.047541e+01,9.960000e+02
5.456198630000e+08,5.400000e+01,4.931147e+01,9.960000e+02
5.456199240000e+08,5.534426e+01,5.078688e+01,9.960000e+02
5.456199850000e+08,5.363934e+01,4.898361e+01,9.960000e+02
5.456200640000e+08,5.411475e+01,4.998361e+01,9.960000e+02
5.456201250000e+08,5.580328e+01,5.096721e+01,9.960000e+02
5.456201860000e+08,5.736066e+01,5.272131e+01,9.960000e+02
5.456202470000e+08,5.508197e+01,5.021312e+01,9.960000e+02
5.456203080000e+08,5.655738e+01,5.150820e+01,9.960000e+02
5.456203690000e+08,5.568853e+01,5.126229e+01,9.960000e+02
5.456204300000e+08,5.557377e+01,5.091803e+01,9.960000e+02
5.456204910000e+08,5.419672e+01,4.931147e+01,9.960000e+02
5.456205520000e+08,5.513115e+01,5.029508e+01,9.960000e+02
5.456206130000e+08,5.577049e+01,5.132787e+01,9.960000e+02
5.456206740000e+08,5.444262e+01,4.975410e+01,9.960000e+02
5.456207350000e+08,5.481967e+01,5.006557e+01,9.960000e+02
5.456207960000e+08,5.539344e+01,5.062295e+01,9.960000e+02
5.456208570000e+08,5.575410e+01,5.145901e+01,9.960000e+02
5.456209300000e+08,5.504918e+01,5.024590e+01,9.960000e+02
5.456209910000e+08,5.578688e+01,5.072131e+01,9.960000e+02
5.456210520000e+08,5.470492e+01,5.018033e+01,9.960000e+02
5.456211130000e+08,5.488525e+01,4.986885e+01,9.960000e+02
5.456211740000e+08,5.445901e+01,4.988525e+01,9.960000e+02
5.456212350000e+08,5.560656e+01,5.037705e+01,9.960000e+02
5.456212960000e+08,5.372131e+01,4.936066e+01,9.960000e+02
