#BinStart,RateHitEvents,RateTrackEvents,Pressure
5.456092270000e+08,2.380328e+01,1.609836e+01,9.300000e+02
5.456092880000e+08,2.445902e+01,1.613115e+01,9.300000e+02
5.456093490000e+08,2.300000e+01,1.536066e+01,9.300000e+02
5.456094100000e+08,2.224590e+01,1.454098e+01,9.300000e+02
5.456094710000e+08,2.296721e+01,1.536066e+01,9.300000e+02
5.456095320000e+08,2.293443e+01,1.493443e+01,9.300000e+02
5.456095930000e+08,2.308197e+01,1.513115e+01,9.300000e+02
5.456096540000e+08,2.460656e+01,1.637705e+01,9.300000e+02
5.456097150000e+08,2.408197e+01,1.624590e+01,9.300000e+02
5.456097760000e+08,2.288525e+01,1.518033e+01,9.300000e+02
5.456098370000e+08,2.432787e+01,1.531148e+01,9.300000e+02
5.456098980000e+08,2.375410e+01,1.555738e+01,9.300000e+02
5.456099590000e+08,2.408197e+01,1.606557e+01,9.300000e+02
5.456100200000e+08,2.398361e+01,1.637705e+01,9.300000e+02
5.456100810000e+08,2.277049e+01,1.509836e+01,9.300000e+02
5.456101420000e+08,2.467213e+01,1.662295e+01,9.300000e+02
5.456102030000e+08,2.350820e+01,1.524590e+01,9.300000e+02
5.456102640000e+08,2.400000e+01,1.622951e+01,9.300000e+02
5.456103250000e+08,2.270492e+01,1.547541e+01,9.300000e+02
5.456103860000e+08,2.342623e+01,1.577049e+01,9.300000e+02
5.456104470000e+08,2.391803e+01,1.555738e+01,9.300000e+02
5.456105080000e+08,2.449180e+01,1.577049e+01,9.300000e+02
5.456105690000e+08,2.468852e+01,1.637705e+01,9.300000e+02
5.456106300000e+08,2.293443e+01,1.473771e+01,9.300000e+02
5.456106910000e+08,2.354098e+01,1.545902e+01,9.300000e+02
5.456107520000e+08,2.324590e+01,1.560656e+01,9.300000e+02
5.456108130000e+08,2.337705e+01,1.567213e+01,9.300000e+02
5.456108740000e+08,2.411475e+01,1.586885e+01,9.300000e+02
5.456109350000e+08,2.409836e+01,1.573771e+01,9.300000e+02
5.456109960000e+08,2.544262e+01,1.711475e+01,9.300000e+02
5.456110750000e+08,2.300000e+01,1.527869e+01,9.300000e+02
5.456111360000e+08,2.295082e+01,1.575410e+01,9.300000e+02
5.456111970000e+08,2.401639e+01,1.593443e+01,9.300000e+02
5.456112580000e+08,2.414754e+01,1.616393e+01,9.300000e+02
5.456113190000e+08,2.426229e+01,1.603279e+01,9.300000e+02
5.456113800000e+08,2.352459e+01,1.568852e+01,9.300000e+02
5.456114410000e+08,2.559016e+01,1.700000e+01,9.300000e+02
5.456115020000e+08,2.439344e+01,1.668852e+01,9.300000e+02
5.456115630000e+08,2.278688e+01,1.500000e+01,9.300000e+02
5.456116240000e+08,2.422951e+01,1.650820e+01,9.300000e+02
5.456116850000e+08,2.365574e+01,1.537705e+01,9.300000e+02
5.456117460000e+08,2.408197e+01,1.554098e+01,9.300000e+02
5.456118070000e+08,2.463935e+01,1.585246e+01,9.300000e+02
5.456118680000e+08,2.301639e+01,1.496721e+01,9.300000e+02
5.456119290000e+08,2.347541e+01,1.591803e+01,9.300000e+02
5.456119900000e+08,2.373771e+01,1.568852e+01,9.300000e+02
5.456120510000e+08,2.370492e+01,1.560656e+01,9.300000e+02
5.456121120000e+08,2.383607e+01,1.575410e+01,9.300000e+02
5.456121730000e+08,2.324590e+01,1.570492e+01,9.300000e+02
5.456122340000e+08,2.396721e+01,1.611475e+01,9.300000e+02
5.456122950000e+08,2.349180e+01,1.537705e+01,9.300000e+02
5.456123560000e+08,2.298361e+01,1.498361e+01,9.300000e+02
5.456124170000e+08,2.368852e+01,1.568852e+01,9.300000e+02
5.456124780000e+08,2.319672e+01,1.542623e+01,9.300000e+02
5.456125390000e+08,2.334426e+01,1.581967e+01,9.300000e+02
5.456126000000e+08,2.422951e+01,1.577049e+01,9.300000e+02
5.456126610000e+08,2.426229e+01,1.590164e+01,9.300000e+02
5.456127220000e+08,2.298361e+01,1.496721e+01,9.300000e+02
5.456127830000e+08,2.437705e+01,1.670492e+01,9.300000e+02
5.456128440000e+08,2.286885e+01,1.514754e+01,9.300000e+02
5.456129210000e+08,2.442623e+01,1.616393e+01,9.290000e+02
5.456129820000e+08,2.391803e+01,1.629508e+01,9.290000e+02
5.456130430000e+08,2.360656e+01,1.508197e+01,9.290000e+02
5.456131040000e+08,2.327869e+01,1.500000e+01,9.290000e+02
5.456131650000e+08,2.504918e+01,1.698361e+01,9.290000e+02
5.456132260000e+08,2.442623e+01,1.618033e+01,9.290000e+02
5.456132870000e+08,2.455738e+01,1.693443e+01,9.290000e+02
5.456133480000e+08,2.368852e+01,1.557377e+01,9.290000e+02
5.456134090000e+08,2.319672e+01,1.537705e+01,9.290000e+02
5.456134700000e+08,2.304918e+01,1.518033e+01,9.290000e+02
5.456135310000e+08,2.411475e+01,1.624590e+01,9.290000e+02
5.456135920000e+08,2.339344e+01,1.532787e+01,9.290000e+02
5.456136530000e+08,2.463935e+01,1.677049e+01,9.290000e+02
5.456137140000e+08,2.436065e+01,1.600000e+01,9.290000e+02
5.456137750000e+08,2.426229e+01,1.616393e+01,9.290000e+02
5.456138360000e+08,2.324590e+01,1.539344e+01,9.290000e+02
5.456138970000e+08,2.337705e+01,1.518033e+01,9.290000e+02
5.456139580000e+08,2.280328e+01,1.534426e+01,9.290000e+02
5.456140190000e+08,2.365574e+01,1.529508e+01,9.290000e+02
5.456140800000e+08,2.395082e+01,1.557377e+01,9.290000e+02
5.456141410000e+08,2.413115e+01,1.586885e+01,9.290000e+02
5.456142020000e+08,2.275410e+01,1.440984e+01,9.290000e+02
5.456142630000e+08,2.470492e+01,1.588525e+01,9.290000e+02
5.456143240000e+08,2.365574e+01,1.555738e+01,9.290000e+02
5.456143850000e+08,2.442623e+01,1.604918e+01,9.290000e+02
5.456144460000e+08,2.411475e+01,1.565574e+01,9.290000e+02
5.456145070000e+08,2.391803e+01,1.559016e+01,9.290000e+02
5.456145680000e+08,2.447541e+01,1.600000e+01,9.290000e+02
5.456146290000e+08,2.413115e+01,1.586885e+01,9.290000e+02
5.456147580000e+08,2.324590e+01,1.549180e+01,9.290000e+02
5.456148190000e+08,2.481967e+01,1.650820e+01,9.290000e+02
5.456148800000e+08,2.381967e+01,1.585246e+01,9.290000e+02
5.456149410000e+08,2.463935e+01,1.644262e+01,9.290000e+02
5.456150020000e+08,2.391803e+01,1.659016e+01,9.290000e+02
5.456150630000e+08,2.422951e+01,1.645902e+01,9.290000e+02
5.456151240000e+08,2.426229e+01,1.603279e+01,9.290000e+02
5.456151850000e+08,2.290164e+01,1.562295e+01,9.290000e+02
5.456152460000e+08,2.393443e+01,1.563934e+01,9.290000e+02
5.456153070000e+08,2.418033e+01,1.622951e+01,9.290000e+02
5.456153680000e+08,2.377049e+01,1.573771e+01,9.290000e+02
5.456154290000e+08,2.388525e+01,1.537705e+01,9.290000e+02
5.456154900000e+08,2.434426e+01,1.627869e+01,9.290000e+02
5.456155510000e+08,2.285246e+01,1.460656e+01,9.290000e+02
5.456156120000e+08,2.268852e+01,1.577049e+01,9.290000e+02
5.456156730000e+08,2.340984e+01,1.542623e+01,9.290000e+02
5.456157340000e+08,2.495082e+01,1.619672e+01,9.290000e+02
