#BinStart,RateHitEvents,RateTrackEvents,Pressure
5.456168970000e+08,2.549180e+01,2.549180e+01,1.003938e+03
5.456169580000e+08,2.275410e+01,2.275410e+01,1.003938e+03
5.456170190000e+08,2.391803e+01,2.391803e+01,1.003938e+03
5.456170800000e+08,2.250820e+01,2.250820e+01,1.003938e+03
5.456171410000e+08,2.267213e+01,2.267213e+01,1.003938e+03
5.456172020000e+08,2.388525e+01,2.388525e+01,1.003938e+03
5.456172630000e+08,2.490164e+01,2.490164e+01,1.003938e+03
5.456173240000e+08,2.459016e+01,2.459016e+01,1.003938e+03
5.456173850000e+08,2.349180e+01,2.349180e+01,1.003938e+03
5.456174460000e+08,2.454098e+01,2.454098e+01,1.003938e+03
5.456175070000e+08,2.383607e+01,2.383607e+01,1.003938e+03
5.456175680000e+08,2.403279e+01,2.403279e+01,1.003938e+03
5.456176290000e+08,2.442623e+01,2.442623e+01,1.003938e+03
5.456176900000e+08,2.465574e+01,2.465574e+01,1.003938e+03
5.456177510000e+08,2.450820e+01,2.450820e+01,1.003938e+03
5.456178120000e+08,2.445902e+01,2.445902e+01,1.003938e+03
5.456178730000e+08,2.457377e+01,2.457377e+01,1.003938e+03
5.456179340000e+08,2.445902e+01,2.445902e+01,1.003938e+03
5.456179950000e+08,2.401639e+01,2.401639e+01,1.003938e+03
5.456180560000e+08,2.404918e+01,2.404918e+01,1.003938e+03
5.456181170000e+08,2.395082e+01,2.395082e+01,1.003938e+03
5.456181780000e+08,2.375410e+01,2.375410e+01,1.003938e+03
5.456182390000e+08,2.268852e+01,2.268852e+01,1.003938e+03
5.456183000000e+08,2.465574e+01,2.465574e+01,1.003938e+03
5.456183610000e+08,2.500000e+01,2.500000e+01,1.003938e+03
5.456184220000e+08,2.322951e+01,2.322951e+01,1.003938e+03
5.456184830000e+08,2.473771e+01,2.473771e+01,1.003938e+03
5.456185440000e+08,2.363935e+01,2.363935e+01,1.003938e+03
5.456186050000e+08,2.377049e+01,2.377049e+01,1.003938e+03
5.456186660000e+08,2.445902e+01,2.445902e+01,1.003938e+03
5.456187270000e+08,2.455738e+01,2.455738e+01,1.003938e+03
5.456187880000e+08,2.439344e+01,2.439344e+01,1.003938e+03
5.456188490000e+08,2.359016e+01,2.359016e+01,1.003938e+03
5.456189100000e+08,2.409836e+01,2.409836e+01,1.003938e+03
5.456189710000e+08,2.367213e+01,2.367213e+01,1.003938e+03
5.456190320000e+08,2.349180e+01,2.349180e+01,1.003938e+03
5.456190930000e+08,2.365574e+01,2.365574e+01,1.003938e+03
